            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType       time  ubAlg  umdpAlg     ubTime      ub     lb  p1  p2  p3    disp   dispReal    umdpTime  timeLastEC  ecTtb  ecIterTb  ecNumAlt  ecTime  ecInsertTime  ecNodes  lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
  weee-1200-23-050-6          weee  1200  23   719400   0.5         1     1  0.001    ubi      umdp   0.814642    ubi      fer   0.550367   19912   3288   3   6  19   19912   0.988611    0.125051    0.125051      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0736908
  weee-4000-65-025-4          weee  4000  65  7997891  0.25       110     1  0.001    ubi      umdp    1800.48    ubi      fer    37.3558  288015  37667   3   6  19   37667   0.394314     1760.85     1760.85      0         0         0       0             0        0       0          0        0         0        0     2417             NA        1.14739
 weee-1600-29-100-10          weee  1600  29  1279200     1         1     1  0.001    ubi      umdp    2.59951    ubi      fer    1.88493   39733   9398   3   6  19   39733    1.04167    0.445787    0.445787      0         0         0       0             0        0       0          0        0         0        0        1             NA        0.34407
  weee-2000-35-050-7          weee  2000  35  1998995   0.5         6     1  0.001    ubi      umdp    4.50999    ubi      fer    3.78946   58792  21620   3   6  19   58792    1.01506    0.264143    0.264143      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.129444
  weee-3200-53-050-4          weee  3200  53  5118361   0.5        40     1  0.001    ubi      umdp    1800.36    ubi      fer    17.5738  179204  50413   3   6  19   50413    0.57317      1781.5      1781.5      0         0         0       0             0        0       0          0        0         0        0     4018             NA        0.87649
  weee-2800-47-050-1          weee  2800  47  3918579   0.5        22     1  0.001    ubi      umdp    1527.14    ubi      fer     10.986  136495  26254   3   6  19  131936    1.08866     1515.18     1515.18      0         0         0       0             0        0       0          0        0         0        0     4562             NA       0.846561
  weee-1200-23-075-9          weee  1200  23   719399  0.75         2     1  0.001    ubi      umdp    3.98442    ubi      fer   0.580136   18395   3913   3   6  19   18331   0.936756     3.28372     3.28372      0         0         0       0             0        0       0          0        0         0        0       65             NA       0.465628
 study-2800-47-000-5         study  2800  47       61     0   3918540     1  0.001    ubi      umdp    10.9293    ubi      fer    4.17209      31     11   3   9  15      20         31     4.90596     4.90596      0         0         0       0             0        0       0          0        0         0        0       12             NA         1.1281
 study-2400-41-000-8         study  2400  41       61     0   2878740     1  0.001    ubi      umdp    7.45707    ubi      fer    2.64541      29     13   3   9  15      19         31     3.52009     3.52009      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.892294
  weee-3200-53-050-2          weee  3200  53  5118369   0.5        32     1  0.001    ubi      umdp    714.327    ubi      fer    17.6821  167868  30266   3   6  19  166338    1.06432       695.3       695.3      0         0         0       0             0        0       0          0        0         0        0     1531             NA       0.902727
  weee-1200-23-075-7          weee  1200  23   719398  0.75         3     1  0.001    ubi      umdp   0.893469    ubi      fer   0.589204   22100   6261   3   6  19   22100    1.03646    0.164876    0.164876      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.114192
  weee-3600-59-050-6          weee  3600  59  6478130   0.5        71     1  0.001    ubi      umdp    1800.44    ubi      fer    25.6943  225660  13928   3   6  19   13928   0.264994     1773.01     1773.01      0         0         0       0             0        0       0          0        0         0        0     3113             NA        1.06776
   weee-400-11-050-6          weee   400  11    79801   0.5         0     1  0.001    ubi      umdp  0.0470144    ubi      fer  0.0254951    2248    482   3   6  19    2248   0.981995  0.00885155  0.00885155      0         0         0       0             0        0       0          0        0         0        0        1             NA     0.00347739
  weee-3600-59-025-7          weee  3600  59  6478147  0.25        54     1  0.001    ubi      umdp    1004.08    ubi      fer    26.3689  203803  37002   3   6  19  202099    1.04473     975.854     975.854      0         0         0       0             0        0       0          0        0         0        0     1707             NA       0.968843
  weee-1600-29-100-9          weee  1600  29  1279196     1         5     1  0.001    ubi      umdp    2.23614    ubi      fer    1.76946   33579   2507   3   6  19   33579   0.942502    0.202513    0.202513      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.112024
  weee-2800-47-100-3          weee  2800  47  3918567     1        34     1  0.001    ubi      umdp    1800.33    ubi      fer    11.0269  127382    989   3   6  19     989  0.0938958     1788.28     1788.28      0         0         0       0             0        0       0          0        0         0        0     5381             NA       0.819594
  weee-4000-65-025-1          weee  4000  65  7997895  0.25       106     1  0.001    ubi      umdp    1800.44    ubi      fer     36.243  265952  30767   3   6  19   30767   0.356443     1761.81     1761.81      0         0         0       0             0        0       0          0        0         0        0     2393             NA        1.13596
   weee-800-17-100-4          weee   800  17   319601     1         0     1  0.001    ubi      umdp   0.247835    ubi      fer   0.163333    6975    682   3   6  19    6975   0.868085   0.0344623   0.0344623      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0154492
 study-2000-35-000-5         study  2000  35       59     0   1998942     1  0.001    ubi      umdp    4.66923    ubi      fer    1.54191      29     12   3   9  15      19         31      2.3352      2.3352      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.645199
 study-3200-53-010-8         study  3200  53       60   0.1   5118341     1  0.001    ubi      umdp    15.6417    ubi      fer    6.30461      32     12   3   9  15      20         31     6.97352     6.97352      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.38574
   weee-400-11-075-9          weee   400  11    79801  0.75         0     1  0.001    ubi      umdp    0.04957    ubi      fer  0.0283714    1808    626   3   6  19    1808   0.871153  0.00848848  0.00848848      0         0         0       0             0        0       0          0        0         0        0        1             NA     0.00349568
