instance instanceType n m R beta duplDist seed alpha ubAlg testType tau time ttb iter iterTb bsSteps disp dispReal bal dispFirstFail balFirstFail dispFirstEC dispFirstECReal balFirstEC ubTime ub ubReal ecTime ecTimeMax ecNodes maxEcIter avgDispStep maxDispStep feasible balAlg th1 th2 balTime balTtb bbTime balTimeMax balNodes balCalls avgBalStep maxBalStep geNodes geNumBB avgBbNodes avgBbMoves avgBbDepth numMaxNodeIncr geDidReachTh2 balShakes balVnsShifts balVnsSwaps
weee-4000-65-025-6 weee 4000 65 7997903 0.25 98 1 0.05 ubs full 1 177.758 176.492 29 28 0 245556 1.0327 0 NA NA 208824 0.948402 3.68452 49.998 291670 1.13021 16.8692 1.87788 791 1 6870.97 162569 1 2ge 2048 262144 102.726 176.318 67.7521 8.93719 4620837 30 0.437213 3.68452 4620837 5772 800.561 13.7107 12.646 0 1604 0 NA NA
weee-1600-29-100-8 weee 1600 29 1279196 1 5 1 0.001 ubs full 1 11.9861 0 0 0 0 2147483647 -1 28.971 NA NA -1 -1 -1 2.38534 39314 1.03645 0 0 0 1 NA 0 0 2ge 2048 262144 9.25532 11.862 5.07634 0 2047735 1 NA 0 2047735 4184 489.42 1.52079 99.211 36 696 36 NA NA
weee-1600-29-100-8 weee 1600 29 1279196 1 5 1 0.01 ubs full 1 6.93836 0 0 0 0 2147483647 -1 28.71 NA NA -1 -1 -1 2.41031 39314 1.03645 0 0 0 1 NA 0 0 2ge 2048 262144 4.17875 6.80646 1.93133 0 669086 1 NA 0 669086 2976 224.827 1.07292 70.167 36 206 36 NA NA
weee-1600-29-100-8 weee 1600 29 1279196 1 5 1 0.05 ubs full 1 3.98618 0 0 0 0 2147483647 -1 27.55 NA NA -1 -1 -1 2.42409 39314 1.03645 0 0 0 1 NA 0 0 2ge 2048 262144 1.23181 3.88845 0.245591 0 85606 1 NA 0 85606 1396 61.3223 0.39255 55.8711 1 1 36 NA NA
weee-4000-65-050-7 weee 4000 65 7997904 0.5 97 1 0.001 ubs full 1 2266.07 1753.72 347 346 0 280922 1.10667 0 NA NA 205742 0.941182 13.0906 137.55 296913 1.13965 314.788 23.6858 6748914 1 808.896 205693 1 2ge 2048 262144 1222.66 1753.51 371.812 12.1065 9866567 347 0.34772 13.0906 9866567 148118 66.6129 3.51377 5.15458 0 1674 0 NA NA
weee-4000-65-050-7 weee 4000 65 7997904 0.5 97 1 0.01 ubs full 1 635.655 622.823 278 277 0 276111 1.09685 0 NA NA 213549 0.959148 13.1368 135.758 296913 1.13965 129.634 2.77049 449767 1 970.665 207316 1 2ge 2048 262144 286.445 622.639 99.2176 6.31811 3421737 279 0.23748 13.1368 3421737 30387 112.605 4.85109 6.67354 0 682 0 NA NA
weee-4000-65-050-7 weee 4000 65 7997904 0.5 97 1 0.05 ubs full 1 205.694 204.333 39 38 0 246812 1.03389 0 NA NA 204650 0.938451 9.72183 134.659 296913 1.13965 19.3503 1.61923 2068 1 6051.64 193910 1 2ge 2048 262144 42.2331 204.151 22.2982 4.71433 1541734 40 0.66467 9.72183 1541734 3266 472.056 9.6586 11.5083 0 489 0 NA NA
weee-4000-65-075-7 weee 4000 65 7997904 0.75 97 1 0.001 ubs full 1 1802.5 1781.79 109 108 0 264369 1.0721 0 NA NA 216697 0.966407 27.4196 134.239 296913 1.13965 54.5622 3.34948 34961 1 2420.21 216083 1 2ge 2048 262144 1585.38 1799.95 290.428 108.169 30488014 110 1.30946 27.4196 30488014 195249 156.149 1.71769 9.17104 16 5106 17 NA NA
weee-4000-65-075-7 weee 4000 65 7997904 0.75 97 1 0.01 ubs full 1 1804.07 1715.69 176 175 0 271309 1.08671 0 NA NA 202931 0.934439 24.4411 134.029 296913 1.13965 85.1764 2.06901 113716 1 1538.91 202198 1 2ge 2048 262144 1541.98 1799.85 207.087 250.258 23911074 177 0.883958 24.4411 23911074 187882 127.266 1.15668 8.68928 45 4146 47 NA NA
weee-4000-65-075-7 weee 4000 65 7997904 0.75 97 1 0.05 ubs full 1 277.038 275.702 34 33 0 244895 1.02954 0 NA NA 214678 0.961764 23.4321 134.092 296913 1.13965 17.6508 2.22564 639 1 5626.76 161100 1 2ge 2048 262144 116.039 275.504 39.5338 16.9683 8171448 35 1.81623 23.4321 8171448 12156 672.215 2.68106 17.4927 0 2265 0 NA NA
weee-2800-47-075-1 weee 2800 47 3918579 0.75 22 1 0.001 ubs full 1 668.548 666.376 182 182 0 134178 1.09855 0 NA NA 102408 0.953247 19.5096 63.0718 134178 1.09855 49.6615 1.83401 583579 1 736.473 102341 1 2ge 2048 262144 532.413 666.282 159.785 14.8299 23894658 183 0.814367 19.5096 23894658 119576 199.828 2.33764 10.0767 2 4739 2 NA NA
weee-2800-47-075-1 weee 2800 47 3918579 0.75 22 1 0.01 ubs full 1 536.239 533.749 218 218 0 134178 1.09855 0 NA NA 90646 0.894968 15.5534 63.4531 134178 1.09855 112.484 34.0189 4562625 1 614.55 90470 1 2ge 2048 262144 334.321 533.678 93.4692 7.54101 17880781 219 0.612195 15.5534 17880781 72689 245.99 1.80919 11.8867 0 3591 0 NA NA
weee-2800-47-075-1 weee 2800 47 3918579 0.75 22 1 0.05 ubs full 1 407.886 404.936 234 234 0 134178 1.09855 0 NA NA 102143 0.95198 17.7811 63.3097 134178 1.09855 69.8469 5.67691 1299161 1 510.068 87381 1 2ge 2048 262144 245.93 404.856 66.992 4.85544 14007450 235 0.458465 17.7811 14007450 55520 252.296 1.61929 12.1554 0 2961 1 NA NA
weee-4000-65-100-7 weee 4000 65 7997904 1 97 1 0.001 ubs full 1 1800.33 1708.33 6 6 2 229687 0.995776 0 230721 0.0490576 203497 0.93573 108.348 136.227 296913 1.13965 7.32473 3.40201 43 1 38434.7 203456 1 2ge 2048 262144 1652.86 1799.99 390.078 405.38 94292473 9 63.8924 108.348 94292473 181131 520.576 1.29147 19.7958 74 25032 38 NA NA
weee-1600-29-025-9 weee 1600 29 1279196 0.25 5 1 0.001 ubs full 1 10.7614 10.7165 8 8 0 33579 0.942502 0 NA NA 26041 0.825209 2.4662 5.05855 33579 0.942502 1.02495 0.369013 138 1 4165.5 25800 1 2ge 2048 262144 5.93856 10.6949 4.58349 1.52858 1078885 9 0.914743 2.4662 1078885 821 1314.11 11.0499 38.8063 0 448 0 NA NA
weee-1600-29-025-9 weee 1600 29 1279196 0.25 5 1 0.01 ubs full 1 6.40842 6.34335 6 6 0 33579 0.942502 0 NA NA 29490 0.879429 1.62627 4.64358 33579 0.942502 0.809155 0.260517 348 1 5557.33 29287 1 2ge 2048 262144 2.02952 6.30616 1.45953 0.436036 245943 7 0.717363 1.62627 245943 288 853.969 13.6528 26.5104 0 108 0 NA NA
weee-1600-29-025-9 weee 1600 29 1279196 0.25 5 1 0.05 ubs full 1 5.82721 5.62587 9 8 0 31670 0.913121 0 NA NA 28923 0.869971 0.694099 4.77605 33579 0.942502 0.885493 0.196614 113 1 3015.78 24377 1 2ge 2048 262144 1.23144 5.57065 0.805961 0.331333 148895 10 0.137983 0.694099 148895 169 881.036 11.5976 22.432 0 68 0 NA NA
weee-2800-47-050-4 weee 2800 47 3918573 0.5 28 1 0.001 ubs full 1 1804.49 1705.91 384 383 0 140092 1.12198 0 NA NA 100375 0.943036 10.3485 24.7076 141426 1.12771 1096.3 403.291 65532414 1 363.951 100188 1 2ge 2048 262144 549.648 1705.79 233.425 3.44145 10872296 384 0.304744 10.3485 10872296 102640 105.927 5.47924 6.09752 0 2198 0 NA NA
weee-2800-47-050-4 weee 2800 47 3918573 0.5 28 1 0.01 ubs full 1 221.908 218.486 224 223 0 133725 1.09492 0 NA NA 95657 0.919816 8.57104 24.9043 141426 1.12771 61.3857 3.02808 780309 1 595.188 95273 1 2ge 2048 262144 118.691 218.375 60.289 1.4992 3623491 225 0.266053 8.57104 3623491 17156 211.208 7.79313 8.7521 0 911 0 NA NA
weee-2800-47-050-4 weee 2800 47 3918573 0.5 28 1 0.05 ubs full 1 34.8381 34.2683 18 17 0 113027 1.00246 0 NA NA 90614 0.894703 5.16541 25.5647 141426 1.12771 4.97985 0.552984 204 1 5499.17 76650 1 2ge 2048 262144 12.9132 34.1682 8.39423 1.49646 1040337 19 1.03822 5.16541 1040337 1199 867.671 12.4621 16.99 0 419 0 NA NA
weee-2000-35-100-2 weee 2000 35 1998992 1 9 1 0.001 ubs full 1 451.521 451.041 62 62 0 63524 1.05406 0 NA NA 49183 0.923352 23.1689 10.1757 63524 1.05406 12.1526 1.98521 475256 1 1022.65 49109 1 2ge 2048 262144 428.761 450.991 177.175 63.8061 51233138 63 2.54345 23.1689 51233138 138669 369.464 1.8855 14.8066 121 10183 78 NA NA
weee-2000-35-100-2 weee 2000 35 1998992 1 9 1 0.01 ubs full 1 305.7 305.179 69 69 0 63524 1.05406 0 NA NA 46734 0.898922 22.5994 8.27914 63524 1.05406 11.462 1.31717 242301 1 914.478 46385 1 2ge 2048 262144 284.261 305.127 118.241 25.3193 41018830 70 2.2029 22.5994 41018830 92842 441.813 1.22685 17.8206 157 7722 109 NA NA
weee-2000-35-100-2 weee 2000 35 1998992 1 9 1 0.05 ubs full 1 197.868 197.28 76 76 0 63524 1.05406 0 NA NA 47318 0.904712 18.366 8.32334 63524 1.05406 11.6343 1.50767 236472 1 826.684 46644 1 2ge 2048 262144 175.949 197.239 80.0142 40.1363 30923038 77 1.794 18.366 30923038 58236 530.995 0.990796 21.3633 165 5436 78 NA NA
weee-2800-47-025-8 weee 2800 47 3918585 0.25 16 1 0.001 ubs full 1 1802.36 791.992 164 163 0 132647 1.08802 0 NA NA 98177 0.929769 4.07177 25.3897 132824 1.08873 335.52 194.258 89852321 1 804.378 97671 1 2ge 2048 262144 422.425 791.865 261.155 6.19336 22286825 164 0.270247 4.07177 22286825 51586 432.032 11.0806 9.46076 0 5860 0 NA NA
weee-2800-47-025-8 weee 2800 47 3918585 0.25 16 1 0.01 ubs full 1 1802.07 356.71 161 160 0 132647 1.08802 0 NA NA 103876 0.957396 3.35554 25.3544 132824 1.08873 178.175 102.937 110938940 1 820.969 103559 1 2ge 2048 262144 147.133 356.598 92.0218 2.584 6508723 161 0.149714 3.35554 6508723 17188 378.678 11.9629 9.1387 0 1818 0 NA NA
weee-2800-47-025-8 weee 2800 47 3918585 0.25 16 1 0.05 ubs full 1 29.2836 28.8321 12 11 0 113501 1.0023 0 NA NA 102614 0.951353 1.71292 25.1474 132824 1.08873 3.60582 0.861565 62 1 6487.58 66917 1 2ge 2048 262144 9.39234 28.7376 6.45688 1.78326 762357 13 0.369951 1.71292 762357 831 917.397 15.9579 14.7377 0 319 0 NA NA
weee-400-11-050-8 weee 400 11 79801 0.5 0 1 0.001 ubs full 1 0.204411 0.203082 1 1 0 1831 0.896163 0 NA NA 1831 0.896163 2.22472 0.142743 1831 0.896163 0.00465395 0.00465403 0 1 1779 1779 1 2ge 2048 262144 0.0697524 0.201412 0.0622947 0.040108 36280 2 2.22472 2.22472 36280 29 1251.03 11.3103 61.5862 0 15 0 NA NA
weee-400-11-050-8 weee 400 11 79801 0.5 0 1 0.01 ubs full 1 0.153605 0.152348 1 1 0 1831 0.896163 0 NA NA 1831 0.896163 1.80031 0.105566 1831 0.896163 0.004563 0.00456306 0 1 1830 1830 1 2ge 2048 262144 0.0544931 0.150774 0.046446 0.0294512 28019 2 1.80031 1.80031 28019 29 966.172 8.03448 51.8276 0 12 0 NA NA
weee-400-11-050-8 weee 400 11 79801 0.5 0 1 0.05 ubs full 1 0.125251 0.123934 1 1 0 1831 0.896163 0 NA NA 1831 0.896163 0.571191 0.124615 1831 0.896163 0.002614 0.00261407 0 1 1351 1351 1 2ge 2048 262144 0.0104831 0.122302 0.00736405 0.010337 4194 2 0.571191 0.571191 4194 9 466 8.22222 13.1111 0 2 0 NA NA
weee-1600-29-075-10 weee 1600 29 1279200 0.75 1 1 0.001 ubs full 1 76.1969 76.1092 16 16 0 39733 1.04167 0 NA NA 34374 0.967158 15.9247 4.15814 39733 1.04167 1.6675 0.388374 8072 1 2468.19 34153 1 2ge 2048 262144 71.2022 76.0764 43.956 11.0638 13096325 17 2.64598 15.9247 13096325 21254 616.182 3.32187 15.7249 18 3641 9 NA NA
weee-1600-29-075-10 weee 1600 29 1279200 0.75 1 1 0.01 ubs full 1 40.8605 40.7397 21 21 0 39733 1.04167 0 NA NA 33420 0.953535 15.0128 4.11864 39733 1.04167 2.49966 0.566322 86745 1 1889.9 33404 1 2ge 2048 262144 34.897 40.7072 21.8427 6.92949 7328352 22 1.73885 15.0128 7328352 9372 781.941 2.55058 17.3767 7 2173 2 NA NA
weee-1600-29-075-10 weee 1600 29 1279200 0.75 1 1 0.05 ubs full 1 29.3977 29.2884 17 17 0 39733 1.04167 0 NA NA 34051 0.962146 13.2507 4.12621 39733 1.04167 1.7136 0.249585 19583 1 1943.47 27358 1 2ge 2048 262144 24.3644 29.2529 15.6856 3.38865 5425123 18 1.87445 13.2507 5425123 5691 953.281 2.3075 19.3933 0 1799 0 NA NA
weee-2000-35-100-1 weee 2000 35 1998995 1 6 1 0.001 ubs full 1 78.2894 66.9204 6 5 9 56021 0.97739 0 56969 0.558686 51009 0.930242 43.092 8.47628 58797 1.00185 1.58434 0.775239 550 1 9481.67 50944 1 2ge 2048 262144 70.6821 77.3708 43.4101 14.8868 13884630 16 21.4406 43.092 13884630 15810 878.218 3.36458 25.9145 14 4573 13 NA NA
weee-2000-35-100-1 weee 2000 35 1998995 1 6 1 0.01 ubs full 1 73.7759 73.7264 3 3 10 54025 0.958827 0 54417 0.370866 48404 0.905343 42.2838 8.88279 58797 1.00185 0.970897 0.534785 20 1 18048.7 48145 1 2ge 2048 262144 66.8659 73.6783 40.4075 14.375 14989815 14 30.038 42.2838 14989815 16638 900.939 2.09917 30.6214 44 4984 47 NA NA
weee-2000-35-100-1 weee 2000 35 1998995 1 6 1 0.05 ubs full 1 49.9003 49.846 4 4 9 54134 0.959809 0 55450 0.478066 47918 0.900419 39.0509 8.43261 58797 1.00185 1.00061 0.401805 22 1 13712 47324 1 2ge 2048 262144 43.1385 49.8007 26.3559 5.29133 10164738 14 26.1133 39.0509 10164738 11410 890.862 1.49132 30.9647 38 3351 38 NA NA
weee-3200-53-025-10 weee 3200 53 5118370 0.25 31 1 0.001 ubs full 1 448.074 446.983 66 66 0 162710 1.05315 0 NA NA 129045 0.932349 4.9157 39.3393 162710 1.05315 65.2281 43.8195 2803217 1 2455.86 128807 1 2ge 2048 262144 348.848 446.869 224.511 13.4432 21551188 67 0.53676 4.9157 21551188 30533 705.833 12.5731 12.9358 1 6877 1 NA NA
weee-3200-53-025-10 weee 3200 53 5118370 0.25 31 1 0.01 ubs full 1 206.005 204.726 69 69 0 162710 1.05315 0 NA NA 123012 0.909758 3.41516 39.5005 162710 1.05315 25.5054 2.36693 299410 1 2166.07 109854 1 2ge 2048 262144 148.335 204.63 98.8333 6.2475 8785338 70 0.357353 3.41516 8785338 12470 704.518 13.1526 12.4449 0 2977 0 NA NA
weee-3200-53-025-10 weee 3200 53 5118370 0.25 31 1 0.05 ubs full 1 58.7306 58.029 20 19 0 153246 1.02028 0 NA NA 127912 0.928203 1.96007 39.5616 162710 1.05315 7.01193 0.848434 546 1 6133.6 97252 1 2ge 2048 262144 26.5506 57.9152 17.7156 4.34305 2227197 21 0.350044 1.96007 2227197 2220 1003.24 13.5378 15.9968 0 889 0 NA NA
weee-2400-41-025-4 weee 2400 41 2878785 0.25 16 1 0.001 ubs full 1 99.4945 99.0357 42 42 0 88900 1.03755 0 NA NA 75096 0.95035 3.98741 15.2762 88900 1.03755 7.92839 0.959686 6109 1 2109.52 74938 1 2ge 2048 262144 78.2854 98.9675 57.3967 4.81201 8988270 43 0.509473 3.98741 8988270 8700 1033.13 15.0826 17.2143 0 3227 0 NA NA
weee-2400-41-025-4 weee 2400 41 2878785 0.25 16 1 0.01 ubs full 1 60.8497 60.3188 49 49 0 88900 1.03755 0 NA NA 75502 0.952981 3.10571 14.9794 88900 1.03755 9.55121 0.720627 73337 1 1787.61 74244 1 2ge 2048 262144 37.8911 60.2551 26.3565 1.96074 3798144 50 0.283231 3.10571 3798144 4492 845.535 13.9346 14.3825 0 1370 0 NA NA
weee-2400-41-025-4 weee 2400 41 2878785 0.25 16 1 0.05 ubs full 1 22.7145 22.3543 14 13 0 83375 1.00355 0 NA NA 70956 0.922934 1.66865 14.9523 88900 1.03755 3.45632 0.610893 41663 1 4071.93 44577 1 2ge 2048 262144 9.29267 22.2748 6.70093 2.19803 1006561 15 0.32354 1.66865 1006561 958 1050.69 14.1691 16.6148 0 419 0 NA NA
weee-1200-23-100-6 weee 1200 23 719400 1 1 1 0.001 ubs full 1 19.8658 19.8423 5 5 0 19912 0.988611 0 NA NA 17751 0.930475 24.9959 1.4297 19912 0.988611 0.346161 0.175116 73 1 3971 17694 1 2ge 2048 262144 18.3919 19.8226 14.9009 4.92585 5845098 6 10.7467 24.9959 5845098 4206 1389.7 5.45839 28.6636 0 2396 0 NA NA
