instance n m beta time alpha nsolved ubi lbColor ub lb vs timelim memlim
weee-300-9-050-6 300 9 0.5 10.2190780639648 0.05 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-050-6 300 9 0.5 10.43696808815 0.01 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-050-6 300 9 0.5 45.1908001899719 0.001 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-075-6 300 9 0.75 9.94494199752808 0.05 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-075-6 300 9 0.75 10.1936349868774 0.01 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-075-6 300 9 0.75 45.2816030979156 0.001 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-100-6 300 9 1 10.2646059989929 0.05 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-100-6 300 9 1 11.5439898967743 0.01 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-100-6 300 9 1 443.731267213821 0.001 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-400-11-025-6 400 11 0.25 18.2579519748688 0.05 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-025-6 400 11 0.25 21.4559299945831 0.01 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-025-6 400 11 0.25 852.731417179108 0.001 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-050-6 400 11 0.5 25.1374869346619 0.05 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-050-6 400 11 0.5 17.8019721508026 0.01 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-050-6 400 11 0.5 3608.03353786469 0.001 1 1.14880928199593 1.14880928199593 1.14873054564593 1.14873054564593 NA 1 0
weee-400-11-075-6 400 11 0.75 24.2900450229645 0.05 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-075-6 400 11 0.75 26.2504501342773 0.01 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-075-6 400 11 0.75 3608.04332208633 0.001 1 1.14880928199593 1.14880928199593 1.14873054564593 1.14873054564593 NA 1 0
weee-400-11-100-6 400 11 1 45.0729022026062 0.05 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-100-6 400 11 1 50.6274931430817 0.01 1 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 1.14880928199593 0 0
weee-400-11-100-6 400 11 1 3608.14649295807 0.001 1 1.14880928199593 1.14880928199593 1.14873054564593 1.14873054564593 NA 1 0
weee-400-7-025-6 400 7 0.25 10.60604596138 0.05 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
weee-400-7-025-6 400 7 0.25 10.6871390342712 0.01 1 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689536 0.706323348689535 0 0
