            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau     time  umdpAlg     ubTime       ub     lb  p1  p2  p3    disp  dispReal  umdpTime  timeLastEC      ecTtb  ecIterTb  ecNumAlt   ecTime  ecInsertTime    ecNodes      lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
  weee-2400-41-100-1          weee  2400  41  2878787     1        14     1  0.001   none      umdp    1  1800.01       ec    6.99252  2878786  22494   4   8   8   87054   1.02686   1792.32      1780.4    19.6012        59        60   1792.3       1783.11  178082870     1.35412         52     1843      1340      443        0             NA              0
  weee-4000-65-025-2          weee  4000  65  7997897  0.25       104     1  0.001   none      umdp    1  1800.05       ec    36.8122  7997896  43838   4   8   8  287181    1.1214   1761.05     24.2889    1775.72       754       755  1760.99       1474.19   77746218     8.90939        572     5106      1794     2557        0             NA              0
   weee-400-11-050-5          weee   400  11    79801   0.5         0     1  0.001   none      umdp    1  14.5621       ec  0.0290023    79800    611   4   8   8    2361   1.03687   14.5182     7.23701  0.0560114         2         4  14.5176       14.5056    5378931  0.00452859          3       68        49       15        0             NA              0
  weee-2800-47-025-1          weee  2800  47  3918579  0.25        22     1  0.001   none      umdp    1  1800.02       ec     10.952  3918578  10857   4   8   8  134178   1.09855   1788.13     1653.07    146.926       309       311   1788.1       1728.43  128789659     2.92741        240     2700      1172     1217        0             NA              0
 weee-2000-35-075-10          weee  2000  35  1998996  0.75         5     1  0.001   none      umdp    1  1800.01       ec    3.53113  1998995  10066   4   8   8   57297   0.99847   1796.07     1791.59    8.41576        27        28  1796.06       1793.05  199304658    0.531576         27     1092       857      207        0             NA              0
  weee-400-11-050-10          weee   400  11    79801   0.5         0     1  0.001   none      umdp    1   21.743       ec  0.0257681    79800    580   4   8   8    2044  0.944965   21.7045     10.8473  0.0441232         1         3  21.7039       21.6983    8338749  0.00239675          2       53        44        6        0             NA              0
   weee-400-11-050-4          weee   400  11    79801   0.5         0     1  0.001   none      umdp    1  12.7265       ec  0.0273021    79800    439   4   8   8    1990  0.925352   12.6866     6.34719  0.0486034         2         4   12.686       12.6774    4629737  0.00283646          2       53        42        7        0             NA              0
  weee-2800-47-100-1          weee  2800  47  3918579     1        22     1  0.001   none      umdp    1  1800.03       ec    10.8265  3918578   7948   4   8   8  134178   1.09855   1788.38     1651.24    148.765       335       337  1788.34       1724.45  132108622     3.30652        261     3401      1732     1332        0             NA              0
  weee-1200-23-025-1          weee  1200  23   719399  0.25         2     1  0.001   none      umdp    1  689.091       ec   0.583885   719398   1892   4   8   8   18837  0.950634   688.374     343.699    1.22591         9        11   688.37       688.013  101419958   0.0614536         10      269       192       66        0             NA              0
  weee-3600-59-100-8          weee  3600  59  6478121     1        80     1  0.001   none      umdp    1  1800.05       ec    25.4149  6478120  17690   4   8   8  222769   1.09768   1773.06     1665.19    134.807       307       309  1773.01       1677.61   94253334     5.91708        254     4622      2532     1781        0             NA              0
 study-2800-47-000-9         study  2800  47       59     0   3918542     1  0.001   none      umdp    1  1800.03       ec    4.01398       58     10   4   8   8      19        31   1794.21     1413.23    32.9177        99       101  1794.17       1771.04   40989898      1.3318         86     1270      1089       80        0             NA              0
  weee-4000-65-025-4          weee  4000  65  7997891  0.25       110     1  0.001   none      umdp    1  1800.05       ec    36.7799  7997890  37667   4   8   8  281049   1.10727   1761.01     827.439    972.561       539       541  1760.95       1547.06   77270951     8.66311        422     4804      1934     2329        0             NA              0
 study-2400-41-000-8         study  2400  41       61     0   2878740     1  0.001   none      umdp    1  1800.02       ec     2.5386       60     13   4   8   8      19        31   1796.48     1776.37    23.6352        87        88  1796.46       1782.41   48263180    0.803955         73      987       827       72        0             NA              0
  weee-2000-35-025-2          weee  2000  35  1998992  0.25         9     1  0.001   none      umdp    1  1800.01       ec    3.63816  1998991  21118   4   8   8   63524   1.05406   1795.93     1759.88    40.1194       124       126  1795.92       1783.41  179431458    0.913121        103     1373       701      546        0             NA              0
   weee-800-17-025-7          weee   800  17   319601  0.25         0     1  0.001   none      umdp    1  1695.17       ec   0.169989   319600    886   4   8   8    9088  0.992865   1694.95     848.434   0.760993        14        16  1694.95       1694.73  395537234   0.0347129         12      248       183       49        0             NA              0
  weee-3200-53-100-4          weee  3200  53  5118361     1        40     1  0.001   none      umdp    1  1800.03       ec    17.6313  5118360  25672   4   8   8  176127   1.09498    1781.1     850.842    949.158       432       434  1781.06       1671.48  101383345     4.93267        327     4019      2181     1404        0             NA              0
  weee-4000-65-100-4          weee  4000  65  7997891     1       110     1  0.001   none      umdp    1  1800.06       ec    38.1702  7997890  43660   4   8   8  283372   1.11205   1759.72     292.715     1507.3       597       598  1759.65       1519.23   71603061     10.3897        474     6337      3271     2468        0             NA              0
  weee-3600-59-050-3          weee  3600  59  6478127   0.5        74     1  0.001   none      umdp    1  1800.03       ec    26.3694  6478126  16925   4   8   8  215646   1.07722   1771.94     1667.74    132.263       240       241  1771.89       1694.22  100279435     4.97857        203     3478      1756     1481        0             NA              0
   weee-800-17-100-9          weee   800  17   319600     1         1     1  0.001   none      umdp    1     1800       ec   0.171337   319599    690   4   8   8    6549   0.84055   1799.78     1799.75    0.24853         1         2  1799.78       1799.75  343716991   0.0101728          2       92        81        9        0             NA              0
  weee-2000-35-025-7          weee  2000  35  1998995  0.25         6     1  0.001   none      umdp    1  1800.01       ec    3.71275  1998994   7245   4   8   8   58792   1.01506   1795.91     1794.28    5.72784        13        14  1795.89       1794.28  216646467    0.436106         14      865       594      257        0             NA              0
 study-3600-59-010-8         study  3600  59       58   0.1   6478143     1  0.001   none      umdp    1  1800.05       ec     8.6954       57     10   4   8   8      18        31   1788.06     1733.33    66.6835       118       119  1787.99        1745.4   27709537     1.99407        105     1435      1239       77        0             NA              0
  weee-2400-41-050-9          weee  2400  41  2878786   0.5        15     1  0.001   none      umdp    1  1800.02       ec    6.43858  2878785  17465   4   8   8   84212   1.00281    1792.9     1674.43    125.579        50        51  1792.88       1785.15  156619633    0.978219         46     1336       940      345        0             NA              0
 study-4000-65-010-1         study  4000  65       62   0.1   7997939     1  0.001   none      umdp    1  1800.06       ec    12.4444       61     12   4   8   8      21        31   1783.39     1715.15    84.8778       122       123  1783.31       1725.68   23000070     2.53557        111     1541      1327       91        0             NA              0
  weee-1600-29-075-3          weee  1600  29  1279195  0.75         6     1  0.001   none      umdp    1  1800.01       ec    1.85656  1279194   5212   4   8   8   37717   1.01595   1797.91     1795.03    4.96563        35        37   1797.9       1795.39  253260693    0.349459         35      870       610      223        0             NA              0
   weee-400-11-050-1          weee   400  11    79801   0.5         0     1  0.001   none      umdp    1  3.18489       ec  0.0253115    79800     35   4   8   8    3076   1.17441   3.14697     1.53351   0.117464        22        24  3.14632       3.07665    1069479   0.0113955         18      197       120       53        0             NA              0
