            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal   ubRbTime  ubRbIterToBest      ubrbTtb   ubRbAvgCons  ubRbMinCons  ubRbAvg    ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
 weee-1200-23-100-10          weee  1200  23   719398     1         3     1  0.001   ubrb        ub    1     1.8585       NA             NA      NA          NA          NA      NA   NA       NA    1.85845            2372      1.81646   36526.35083        19737  0.00000   19737   0.97880       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-000-7         study  2000  35       58     0   1998943     1  0.001   ubrb        ub    1    10.0284       NA             NA      NA          NA          NA      NA   NA       NA   10.02837            2200      1.00429      26.50850           24  0.00000      24  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-3200-53-010-10         study  3200  53       60   0.1   5118341     1  0.001   ubrb        ub    1     52.356       NA             NA      NA          NA          NA      NA   NA       NA   52.35595            3353      2.50671      27.56469           26  0.00000      26  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-075-5          weee  1200  23   719400  0.75         1     1  0.001   ubrb        ub    1    1.87824       NA             NA      NA          NA          NA      NA   NA       NA    1.87818            1342     0.221238   35956.93417        17388  0.00000   17388   0.91736       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-000-2         study  2000  35       58     0   1998943     1  0.001   ubrb        ub    1    9.94024       NA             NA      NA          NA          NA      NA   NA       NA    9.94019            3601       7.9545      25.43550           23  0.00000      23  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-075-5          weee  2000  35  1998997  0.75         4     1  0.001   ubrb        ub    1    11.5797       NA             NA      NA          NA          NA      NA   NA       NA   11.57968            2732      4.25443  101580.87350        70090  0.00000   70090   1.11100       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-2400-41-000-10         study  2400  41       60     0   2878741     1  0.001   ubrb        ub    1    19.0267       NA             NA      NA          NA          NA      NA   NA       NA   19.02663            3190      6.27418      27.07958           25  0.00000      25  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-010-2         study  2000  35       58   0.1   1998943     1  0.001   ubrb        ub    1    9.98198       NA             NA      NA          NA          NA      NA   NA       NA    9.98193            3601      7.98721      25.43550           23  0.00000      23  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1600-29-010-7         study  1600  29       58   0.1   1279143     1  0.001   ubrb        ub    1    4.78389       NA             NA      NA          NA          NA      NA   NA       NA    4.78383            1605    0.0141891      25.51000           24  0.00000      24  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-800-17-000-7         study   800  17       57     0    319544     1  0.001   ubrb        ub    1    0.52031       NA             NA      NA          NA          NA      NA   NA       NA    0.52026             862    0.0395299      23.67875           22  0.00000      22  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-025-8          weee  1200  23   719401  0.25         0     1  0.001   ubrb        ub    1    1.86258       NA             NA      NA          NA          NA      NA   NA       NA    1.86253            1580     0.593289   37321.17500        18523  0.00000   18523   0.94908       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-050-8          weee  3600  59  6478121   0.5        80     1  0.001   ubrb        ub    1     109.17       NA             NA      NA          NA          NA      NA   NA       NA  109.16964            3751      4.61445  324965.52583       237244  0.00000  237244   1.13537       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-075-1          weee  2800  47  3918579  0.75        22     1  0.001   ubrb        ub    1    42.1962       NA             NA      NA          NA          NA      NA   NA       NA   42.19618            2813     0.181895  194619.54321       136495  0.00000  136495   1.10845       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-010-9         study   400  11       51   0.1     79750     1  0.001   ubrb        ub    1  0.0696353       NA             NA      NA          NA          NA      NA   NA       NA    0.06958             619     0.037609      21.81750           19  0.00000      19  34.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-050-4          weee  3600  59  6478145   0.5        56     1  0.001   ubrb        ub    1    109.205       NA             NA      NA          NA          NA      NA   NA       NA  109.20528            3620     0.576686  322821.93472       230731  0.00000  230731   1.12166       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-100-8          weee  2400  41  2878785     1        16     1  0.001   ubrb        ub    1     23.489       NA             NA      NA          NA          NA      NA   NA       NA   23.48893            2579      1.68912  143626.59917       102691  0.00000  102691   1.12221       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-050-5          weee  2400  41  2878790   0.5        11     1  0.001   ubrb        ub    1    23.3039       NA             NA      NA          NA          NA      NA   NA       NA   23.30384            3066       6.4697  145532.64833       105314  0.00000  105314   1.14302       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-1200-23-010-10         study  1200  23       58   0.1    719343     1  0.001   ubrb        ub    1     1.8616       NA             NA      NA          NA          NA      NA   NA       NA    1.86155            1659     0.713342      26.04583           24  0.00000      24  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-075-1          weee  3600  59  6478133  0.75        68     1  0.001   ubrb        ub    1    108.011       NA             NA      NA          NA          NA      NA   NA       NA  108.01093            4430      24.8626  320930.68194       239852  0.00000  239852   1.14080       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
   weee-800-17-100-9          weee   800  17   319600     1         1     1  0.001   ubrb        ub    1   0.483797       NA             NA      NA          NA          NA      NA   NA       NA    0.48375             811   0.00644738   17507.80375         6549  0.00000    6549   0.84055       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-3600-59-000-3         study  3600  59       62     0   6478139     1  0.001   ubrb        ub    1    80.2558       NA             NA      NA          NA          NA      NA   NA       NA   80.25576            6008      53.6736      28.64500           27  0.00000      27  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-050-7          weee  2400  41  2878788   0.5        13     1  0.001   ubrb        ub    1    22.8297       NA             NA      NA          NA          NA      NA   NA       NA   22.82966            2514      1.11338  144652.52458        88650  0.00000   88650   1.02902       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-050-3          weee  1200  23   719398   0.5         3     1  0.001   ubrb        ub    1     1.8586       NA             NA      NA          NA          NA      NA   NA       NA    1.85855            1455     0.395176   36622.03083        23499  0.00000   23499   1.07397       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-075-2          weee  1200  23   719401  0.75         0     1  0.001   ubrb        ub    1    1.88772       NA             NA      NA          NA          NA      NA   NA       NA    1.88767            1237     0.056277   37759.01833        22314  0.00000   22314   1.04052       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-100-9          weee  2800  47  3918580     1        21     1  0.001   ubrb        ub    1    41.1009       NA             NA      NA          NA          NA      NA   NA       NA   41.10088            2879      1.13562  197806.84821       129454  0.00000  129454   1.07785       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-075-2          weee  2800  47  3918567  0.75        34     1  0.001   ubrb        ub    1     41.366       NA             NA      NA          NA          NA      NA   NA       NA   41.36590            3167      5.39817  197229.80536       145357  0.00000  145357   1.14086       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
