            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
study-2400-41-010-13         study  2400  41       59   0.1   2878742     1  0.001    ubs        ub    1     3.4768       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     3.47676      1.05             44       88    2.84603         20              4               4               108          0.00181      27  38.00000
 study-400-11-010-17         study   400  11       52   0.1     79749     1  0.001    ubs        ub    1  0.0857289       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.08569      1.05             14       28  0.0612845         10             14               2                38          0.00169      19  34.00000
 weee-2800-47-100-19          weee  2800  47  3918579     1        22     1  0.001    ubs        ub    1     12.199       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    12.19891      1.05             50      100          0          0             -1               0               100          0.00199  113360   1.00448
study-2800-47-010-21         study  2800  47       60   0.1   3918541     1  0.001    ubs        ub    1    5.35459       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.35455      1.05             50      100    4.50592         15              3               3               115          0.00150      27  38.00000
 weee-2000-35-100-30          weee  2000  35  1998996     1         5     1  0.001    ubs        ub    1    4.09208       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.09204      1.05             38       76          0          0             -1               0                76          0.00177   64862   1.06235
study-4000-65-010-13         study  4000  65       61   0.1   7997940     1  0.001    ubs        ub    1    15.9458       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    15.94571      1.05             68      136    13.5601         25              5               5               161          0.00177      26  38.00000
 weee-3600-59-100-30          weee  3600  59  6478119     1        82     1  0.001    ubs        ub    1    28.6268       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    28.62673      1.05             62      124          0          0             -1               0               124          0.00179  235688   1.13706
study-3200-53-010-13         study  3200  53       59   0.1   5118342     1  0.001    ubs        ub    1    8.30141       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     8.30135      1.05             56      112    6.82491         20              4               4               132          0.00228      25  37.00000
study-1600-29-010-13         study  1600  29       58   0.1   1279143     1  0.001    ubs        ub    1    1.07738       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     1.07734      1.05             32       64   0.838105         15              3               3                79          0.00152      25  37.00000
study-2400-41-010-30         study  2400  41       60   0.1   2878741     1  0.001    ubs        ub    1    3.97341       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     3.97336      1.05             44       88    3.22874         20              4               4               108          0.00226      25  37.00000
