            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
  weee-2800-47-025-1          weee  2800  47  3918579  0.25        22     1  0.001    ubs        ub    1       1800       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA  1800.00030       1.5             70        7    10.6155         17              2               1                24         74.55528  134178   1.09855
 weee-2000-35-075-10          weee  2000  35  1998996  0.75         5     1  0.001    ubs        ub    1    4.10433       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.10428       1.5             52      104          0          0             -1               0               104          0.00141   57297   0.99847
  weee-400-11-050-10          weee   400  11    79801   0.5         0     1  0.001    ubs        ub    1  0.0616575       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06162       1.5             16       32          0          0             -1               0                32          0.00105    2044   0.94497
   weee-400-11-050-4          weee   400  11    79801   0.5         0     1  0.001    ubs        ub    1  0.0638258       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06379       1.5             16       32          0          0             -1               0                32          0.00106    1990   0.92535
  weee-2800-47-100-1          weee  2800  47  3918579     1        22     1  0.001    ubs        ub    1       1800       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA  1800.00033       1.5             70        7    10.4904         17              2               1                24         74.56061  134178   1.09855
  weee-1200-23-025-1          weee  1200  23   719399  0.25         2     1  0.001    ubs        ub    1   0.790091       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.79005       1.5             34       68          0          0             -1               0                68          0.00138   18837   0.95063
  weee-3600-59-100-8          weee  3600  59  6478121     1        80     1  0.001    ubs        ub    1    29.0803       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    29.08023       1.5             88      176     24.786         18              3               1               194          0.00152  222769   1.09768
 study-2800-47-000-9         study  2800  47       59     0   3918542     1  0.001    ubs        ub    1    5.82503       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.82499       1.5             70      140    4.39122         15             48               3               155          0.00138      25  37.00000
  weee-4000-65-025-4          weee  4000  65  7997891  0.25       110     1  0.001    ubs        ub    1    42.8626       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    42.86253       1.5             97      194    36.3133         18              1               1               212          0.00160  286428   1.11834
 study-2400-41-000-8         study  2400  41       61     0   2878740     1  0.001    ubs        ub    1    3.75055       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     3.75051       1.5             61      122    2.43739         15              3               3               137          0.00133      25  37.00000
  weee-2000-35-025-2          weee  2000  35  1998992  0.25         9     1  0.001    ubs        ub    1    4.16463       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.16459       1.5             52      104          0          0             -1               0               104          0.00142   63524   1.05406
   weee-800-17-025-7          weee   800  17   319601  0.25         0     1  0.001    ubs        ub    1   0.235793       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.23575       1.5             25       50          0          0             -1               0                50          0.00113    9088   0.99286
  weee-3200-53-100-4          weee  3200  53  5118361     1        40     1  0.001    ubs        ub    1    19.7009       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    19.70088       1.5             79      158          0          0             -1               0               158          0.00163  179204   1.10475
  weee-4000-65-100-4          weee  4000  65  7997891     1       110     1  0.001    ubs        ub    1    41.2589       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    41.25885       1.5             97      194    34.7134         18              1               1               212          0.00159  286428   1.11834
  weee-3600-59-050-3          weee  3600  59  6478127   0.5        74     1  0.001    ubs        ub    1    29.7308       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    29.73080       1.5             88      176          0          0             -1               0               176          0.00168  216931   1.08062
   weee-800-17-100-9          weee   800  17   319600     1         1     1  0.001    ubs        ub    1   0.265096       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.26505       1.5             25       50          0          0             -1               0                50          0.00127    6549   0.84055
  weee-2000-35-025-7          weee  2000  35  1998995  0.25         6     1  0.001    ubs        ub    1    4.42141       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.42136       1.5             52      104          0          0             -1               0               104          0.00163   58792   1.01506
 study-3600-59-010-8         study  3600  59       58   0.1   6478143     1  0.001    ubs        ub    1    12.0053       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    12.00525       1.5             88      176    8.84004         10             34               2               186          0.00167      24  37.00000
  weee-2400-41-050-9          weee  2400  41  2878786   0.5        15     1  0.001    ubs        ub    1    7.26516       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     7.26511       1.5             61      122          0          0             -1               0               122          0.00229   84322   1.00350
 study-4000-65-010-1         study  4000  65       62   0.1   7997939     1  0.001    ubs        ub    1    16.8591       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    16.85904       1.5             97      194    12.1513         10             18               2               204          0.00157      28  38.00000
  weee-1600-29-075-3          weee  1600  29  1279195  0.75         6     1  0.001    ubs        ub    1    2.18907       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.18902       1.5             43       86          0          0             -1               0                86          0.00148   37717   1.01595
   weee-400-11-050-1          weee   400  11    79801   0.5         0     1  0.001    ubs        ub    1  0.0702589       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.07022       1.5             16       32          0          0             -1               0                32          0.00118    3076   1.17441
 study-3200-53-000-8         study  3200  53       60     0   5118341     1  0.001    ubs        ub    1    8.55363       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     8.55357       1.5             79      158    5.77531         10              2               2               168          0.00142      27  38.00000
  weee-2400-41-025-8          weee  2400  41  2878785  0.25        16     1  0.001    ubs        ub    1    7.40849       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     7.40844       1.5             61      122          0          0             -1               0               122          0.00138   99433   1.10301
 study-2000-35-000-3         study  2000  35       61     0   1998940     1  0.001    ubs        ub    1     2.1785       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.17845       1.5             52      104     1.9055         20             70               4               124          0.00135      25  36.00000
  weee-2000-35-075-5          weee  2000  35  1998997  0.75         4     1  0.001    ubs        ub    1    4.44298       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.44293       1.5             52      104          0          0             -1               0               104          0.00486   70090   1.11100
   weee-800-17-100-6          weee   800  17   319601     1         0     1  0.001    ubs        ub    1   0.283739       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.28370       1.5             25       50    0.19825         14              4               1                64          0.00123   10466   1.06263
  weee-1200-23-025-2          weee  1200  23   719401  0.25         0     1  0.001    ubs        ub    1    0.72185       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.72181       1.5             34       68          0          0             -1               0                68          0.00134   20401   0.99216
  study-400-11-000-1         study   400  11       56     0     79745     1  0.001    ubs        ub    1  0.0620974       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06206       1.5             16       32  0.0285081         10              2               2                42          0.00100      20  34.00000
 study-1200-23-010-8         study  1200  23       56   0.1    719345     1  0.001    ubs        ub    1   0.456768       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.45672       1.5             34       68   0.249081         10              2               2                78          0.00124      22  36.00000
  weee-3600-59-100-6          weee  3600  59  6478130     1        71     1  0.001    ubs        ub    1     30.204       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    30.20394       1.5             88      176          0          0             -1               0               176          0.00765  225660   1.10804
 study-2800-47-010-5         study  2800  47       61   0.1   3918540     1  0.001    ubs        ub    1    5.85477       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.85473       1.5             70      140    3.83811         15              3               3               155          0.00153      26  37.00000
 study-2800-47-000-6         study  2800  47       59     0   3918542     1  0.001    ubs        ub    1    5.70555       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.70551       1.5             70      140    3.76019         10              2               2               150          0.00138      26  37.00000
  weee-1200-23-100-3          weee  1200  23   719398     1         3     1  0.001    ubs        ub    1   0.715939       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.71590       1.5             34       68          0          0             -1               0                68          0.00131   23499   1.07397
