            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau        time   ubiTime  ubiIterToBest       ubiTtb    ubiAvgCons  ubiMinCons        ubiAvg     ubi   ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
 weee-1200-23-100-10          weee  1200  23   719398     1         3     1  0.001    ubi        ub    1    0.382938   0.38289            124    0.0380617   46376.46333       21883   37930.64500   19737   0.97880        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-000-7         study  2000  35       58     0   1998943     1  0.001    ubi        ub    1    0.777198   0.77715             90    0.0357259      35.64050          31      33.75950      29  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-3200-53-010-10         study  3200  53       60   0.1   5118341     1  0.001    ubi        ub    1     2.99057   2.99052           1454      1.37522      36.67656          32      35.11312      31  43.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-075-5          weee  1200  23   719400  0.75         1     1  0.001    ubi        ub    1    0.363617   0.36357            169    0.0511551   46097.60417       18582   37708.96083   17147   0.91050        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-000-2         study  2000  35       58     0   1998943     1  0.001    ubi        ub    1    0.776323   0.77627            808     0.315374      34.67900          29      32.81300      28  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-075-5          weee  2000  35  1998997  0.75         4     1  0.001    ubi        ub    1     1.74012   1.74008            777     0.666489  123320.68600       70090  105405.23700   70090   1.11100        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-2400-41-000-10         study  2400  41       60     0   2878741     1  0.001    ubi        ub    1     1.25856   1.25851             71    0.0372266      36.02833          31      34.22500      30  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-010-2         study  2000  35       58   0.1   1998943     1  0.001    ubi        ub    1    0.757247   0.75721            808     0.306629      34.67900          29      32.81300      28  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1600-29-010-7         study  1600  29       58   0.1   1279143     1  0.001    ubi        ub    1    0.394882   0.39483            266    0.0661801      34.33687          29      32.37375      28  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-800-17-000-7         study   800  17       57     0    319544     1  0.001    ubi        ub    1   0.0545187   0.05447             73   0.00520318      32.33125          26      29.77375      25  39.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-025-8          weee  1200  23   719401  0.25         0     1  0.001    ubi        ub    1    0.364135   0.36409              4   0.00120374   46815.91250       19768   38628.34750   18523   0.94908        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-050-8          weee  3600  59  6478121   0.5        80     1  0.001    ubi        ub    1     12.4063  12.40626           2806       9.6259  381943.56833      237244  334411.96417  225539   1.10489        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-075-1          weee  2800  47  3918579  0.75        22     1  0.001    ubi        ub    1     5.51252   5.51247           1527      3.11444  233856.17536      139501  201836.95750  136495   1.10845        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-010-9         study   400  11       51   0.1     79750     1  0.001    ubi        ub    1   0.0105893   0.01054             28  0.000806446      29.87500          23      26.62750      21  36.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-050-4          weee  3600  59  6478145   0.5        56     1  0.001    ubi        ub    1     12.3297  12.32965            140      0.47616  380960.45167      232960  332758.83250  221389   1.09771        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-100-8          weee  2400  41  2878785     1        16     1  0.001    ubi        ub    1     3.11991   3.11985            979      1.27626  172184.76917       99433  148718.98917   99433   1.10301        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-050-5          weee  2400  41  2878790   0.5        11     1  0.001    ubi        ub    1     3.13265   3.13260            295     0.366893  174180.05667      102867  150312.27250  102200   1.12486        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-1200-23-010-10         study  1200  23       58   0.1    719343     1  0.001    ubi        ub    1    0.183654   0.18361            468    0.0724645      34.61750          30      32.54167      28  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-075-1          weee  3600  59  6478133  0.75        68     1  0.001    ubi        ub    1     12.5874  12.58734            343      1.13503  381204.91028      240181  332607.62833  238664   1.13772        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
   weee-800-17-100-9          weee   800  17   319600     1         1     1  0.001    ubi        ub    1    0.117734   0.11768             11   0.00199091   22214.82500        8061   17805.63875    6549   0.84055        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-3600-59-000-3         study  3600  59       62     0   6478139     1  0.001    ubi        ub    1     4.27704   4.27699            299     0.365758      37.80111          33      36.29333      32  43.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-050-7          weee  2400  41  2878788   0.5        13     1  0.001    ubi        ub    1     3.17553   3.17547            896      1.15579  176133.19333       88650  151022.74500   88650   1.02902        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-050-3          weee  1200  23   719398   0.5         3     1  0.001    ubi        ub    1    0.355178   0.35513             23   0.00699284   46309.53250       24161   38206.50083   23499   1.07397        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-075-2          weee  1200  23   719401  0.75         0     1  0.001    ubi        ub    1     0.35359   0.35354             23   0.00690307   46697.62417       20911   38832.47417   20401   0.99216        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-100-9          weee  2800  47  3918580     1        21     1  0.001    ubi        ub    1     5.10722   5.10717             32    0.0530195  235633.26607      124723  204042.57357  124723   1.05734        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-075-2          weee  2800  47  3918567  0.75        34     1  0.001    ubi        ub    1      5.1949   5.19484            167     0.305382  235545.67607      146644  203380.53286  140403   1.12016        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-000-1         study  2000  35       59     0   1998942     1  0.001    ubi        ub    1    0.798777   0.79872            130     0.051617      34.69300          30      32.89250      29  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-4000-65-000-3         study  4000  65       63     0   7997938     1  0.001    ubi        ub    1     6.82474   6.82469           1322      2.00056      38.92675          33      37.40925      33  43.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-000-8         study  1200  23       56     0    719345     1  0.001    ubi        ub    1    0.175615   0.17557             56   0.00822157      32.60833          27      30.42167      26  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-100-7          weee  2800  47  3918571     1        30     1  0.001    ubi        ub    1     5.21719   5.21713           1521      2.85417  233790.40143      148147  201852.10607  133815   1.10031        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-050-3          weee  2400  41  2878789   0.5        12     1  0.001    ubi        ub    1     3.18789   3.18784           1086      1.47858  172867.44083       95465  148670.57250   84857   1.01318        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-025-1          weee  2800  47  3918579  0.25        22     1  0.001    ubi        ub    1     5.19318   5.19312           1527      2.78951  233856.17536      139501  201836.95750  136495   1.10845        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-400-11-100-10          weee   400  11    79801     1         0     1  0.001    ubi        ub    1   0.0172404   0.01719             50   0.00218844    6765.55000        2260    5068.82750    2044   0.94497        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-025-1          weee  2000  35  1998995  0.25         6     1  0.001    ubi        ub    1     1.75327   1.75322            194     0.169895  122545.72850       60231  103622.34950   59846   1.01080        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-000-3         study  2000  35       61     0   1998940     1  0.001    ubi        ub    1    0.771242   0.77119            278     0.104698      36.61250          31      34.78450      31  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1600-29-050-3          weee  1600  29  1279195   0.5         6     1  0.001    ubi        ub    1    0.905472   0.90542            175    0.0960139   79577.56062       37879   66103.89937   37717   1.01595        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-010-7         study  1200  23       59   0.1    719342     1  0.001    ubi        ub    1    0.175131   0.17508            303    0.0426658      34.76000          30      32.63750      28  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2800-47-010-6         study  2800  47       59   0.1   3918542     1  0.001    ubi        ub    1     2.10885   2.10880            605     0.441387      37.24071          32      35.60607      31  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3200-53-100-8          weee  3200  53  5118364     1        37     1  0.001    ubi        ub    1     7.86147   7.86142           1909      4.84247  307502.52000      194150  268939.78187  178575   1.10506        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
study-2800-47-010-10         study  2800  47       62   0.1   3918539     1  0.001    ubi        ub    1     2.11847   2.11841            411       0.3205      38.32464          33      36.64714      32  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-3600-59-000-6         study  3600  59       61     0   6478140     1  0.001    ubi        ub    1     4.67659   4.67654           1636      2.30034      37.86639          33      36.31611      32  43.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 weee-3200-53-025-10          weee  3200  53  5118370  0.25        31     1  0.001    ubi        ub    1     8.42266   8.42261            146     0.401507  304903.45687      167640  263271.68938  167640   1.06931        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-100-8          weee  2000  35  1998995     1         6     1  0.001    ubi        ub    1     1.80252   1.80247            169     0.146262  122738.72650       63272  103918.35150   63272   1.05148        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-025-5          weee  2400  41  2878790  0.25        11     1  0.001    ubi        ub    1     3.06922   3.06917            295     0.360118  174180.05667      102867  150312.27250  102200   1.12486        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
   weee-800-17-050-6          weee   800  17   319601   0.5         0     1  0.001    ubi        ub    1    0.119579   0.11953            202    0.0302967   22520.81125       10987   17849.12375   10857   1.08248        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-4000-65-000-5         study  4000  65       61     0   7997940     1  0.001    ubi        ub    1      6.3518   6.35175            948      1.41923      37.98800          33      36.51150      32  43.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2000-35-010-9         study  2000  35       57   0.1   1998944     1  0.001    ubi        ub    1    0.775484   0.77543            575     0.221786      34.70050          30      32.91350      28  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
